schema_type,title,notes,topics,tags,internal_contact_name,internal_contact_email,organization_title,custodian,homepage_url,internal_notes,language,license_id,update_frequency,metadata_created,metadata_modified,spatial_coverage_locations,temporal_coverage_start_date,temporal_coverage_end_date,dkan_uri,dkan_node_id
data,Designated Historic Sites Yukon,Yukon Historic Sites designated under the Historic Resources Act,History and archaeology,"history,tourism","Historic Sites Unit, Department of Tourism & Culture",yukon.registrar@gov.yk.ca,Tourism and Culture,Yukon Register of Historic Places,,,,OGL-Yukon-2.0,,2017-09-19 01:08:51,2021-07-06 16:03:58,Yukon,,,https://open.yukon.ca/data/datasets/designated-historic-sites-yukon,4017
data,Yukon aerial photographs locator,"The Energy, Mines and Resources (EMR) Library owns over 100,000 aerial photographs of the Yukon.

You can photocopy or scan (600x600 dpi) aerial photographs in the library.  If you wish to scan aerial photos, please bring a new, unformatted USB flash drive.  Photocopies are limited to 25 per client, per day. Scanning is unlimited.

You can borrow aerial photographs overnight. You must leave your credit card (Visa, MasterCard, or American Express) information with the library's staff as security.  

The EMR Library catalogue also lists aerial photographs held by Highways and Public Works (HPW). 
To access HPW's aerial photographs, contact the EMR Library. Phone 867-667-3111 or email emrlibrary@yukon.ca.

Many aerial photographs have been scanned and are now available on GeoYukon. For more information on using GeoYukon, contact the EMR Library at 867-667-3111 or email emrlibrary@yukon.ca.","Economics and industry,Nature and environment","aerial,air photo,location",EMR Library,emrlibrary@yukon.ca,"Energy, Mines and Resources",EMR,https://yukon.ca/en/science-and-natural-resources/research-and-monitoring/find-air-photos-yukon,,,OGL-Yukon-2.0,ad_hoc,2017-09-20 12:32:48,2023-08-24 09:42:47,Yukon,,,https://open.yukon.ca/data/datasets/yukon-aerial-photographs-locator,4188
data,Yukon Snow Survey Network,"Manual snow survey sampling from snow courses consisting of 10 measurement points. Measurements of snow water equivalent (SWE), and snow density are expressed as an average across the snow course. Measurements are taken three times a year at the start of March, April , and May.","Nature and environment,Science and technology","climate,hydrology,snow,water",Water Resources Branch,water.resources@gov.yk.ca,Environment,ENV - Water Resources,https://yukon.ca/en/science-and-natural-resources/research-and-monitoring/snow-surveys-and-water-supply-forecasts,,english,OGL-Yukon-2.0,semiannual,2018-04-10 09:13:25,2025-06-24 19:46:34,"Yukon, Northern British Columbia, Western Alaska",1958-01-01,2019-05-31,https://open.yukon.ca/data/datasets/yukon-snow-survey-network,13419
data,Yukon Government Closed Tenders,"Includes information on closed tenders for Yukon Government from June 27, 2011 to present, and an access link to the Government of Yukon tender management system. Yukon tender management system allows businesses to access tender documents, receive notifications of procurement opportunities from the Government of Yukon, and access Government of Yukon tender forecasts.","Economics and industry,Government and politics","business,contracts,tenders",Procurement Support Centre,contracts@gov.yk.ca,Procurement Support Centre,Government of Yukon,https://apps.gov.yk.ca/tms/f?p=141%3A1%3A,Harvest source: PROC 9_17062019. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,,2019-06-17 14:52:33,2021-07-26 12:48:20,Yukon,2011-07-08,2011-07-08,https://open.yukon.ca/data/datasets/yukon-government-closed-tenders,30799
data,Yukon Government Public Contract Registry,"Includes information on Government of Yukon contracts starting from April 1, 2007 to present. Includes access link to Government of Yukon tender management system. Yukon tender management system allows businesses to access tender documents, receive notifications of procurement opportunities from the Government of Yukon, and access Government of Yukon tender forecasts.","Economics and industry,Government and politics","business,contracts,tenders",Procurement Support Centre,contracts@gov.yk.ca,Procurement Support Centre,Government of Yukon,https://apps.gov.yk.ca/contractreg/f?p=107%3A500%3A,Harvest source: PROC 9_17062019. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,daily,2019-06-17 14:52:33,2021-07-22 16:30:58,Yukon,,,https://open.yukon.ca/data/datasets/yukon-government-public-contract-registry,30801
data,LGBTQ2S+ Inclusion Prioritization Survey,"From November 2018 to March 2019, Yukon government held an LGBTQ2S+ (lesbian, gay, bisexual, trans, queer, Two-Spirit, plus) public engagement. The aim was to encourage LGBTQ2S+ Yukoners and allies to share their insights on what is needed for Government of Yukon services to better meet the needs of LGBTQ2S+ Yukoners. An online prioritization survey of items raised during the public engagement was available from the middle of May, 2019 until the end of June, 2019. These are the results of the prioritization survey.","Health and safety,Persons,Society and culture",,Alex Muszynski,alex.muszynski@gov.yk.ca,Women and Gender Equity Directorate,Women's Directorate,https://yukon.ca/en/women-gender-equity-directorate,Survey completed Date=2019,english,OGL-Yukon-2.0,ad_hoc,2019-09-20 15:19:01,2024-05-15 10:45:40,Yukon,2019-05-15,2019-06-30,https://open.yukon.ca/data/datasets/lgbtq2s-inclusion-prioritization-survey,31879
data,Enrolment reports 2011-12,Enrolment by school and grade for all Yukon schools,Education and training,"2011,2011-12,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:09:42,2020-08-31 14:09:42,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2011-12,51583
data,Enrolment reports 2004-05,Enrolment by school and grade for all Yukon schools,Education and training,"2004,2004-05,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:09:42,2020-08-31 14:09:42,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2004-05,51594
data,Enrolment reports 2006-07,Enrolment by school and grade for all Yukon schools,Education and training,"2006,2006-07,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:09:42,2020-08-31 14:09:42,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2006-07,51605
data,Enrolment reports 2015-16,Enrolment by school and grade for all Yukon schools,Education and training,"2015,2015-16,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:09:42,2020-08-31 14:09:42,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2015-16,51616
data,Enrolment reports 2003-04,Enrolment by school and grade for all Yukon schools,Education and training,"2003,2003-04,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:10:18,2020-08-31 14:10:18,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2003-04,51626
data,Enrolment reports 2012-13,Enrolment by school and grade for all Yukon schools,Education and training,"2012,2012-13,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:10:18,2020-08-31 14:10:18,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2012-13,51637
data,Enrolment reports 2009-10,Enrolment by school and grade for all Yukon schools,Education and training,"2009,2009-10,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:10:18,2020-08-31 14:10:18,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2009-10,51648
data,Enrolment reports 2013-14,Enrolment by school and grade for all Yukon schools,Education and training,"2013,2013-14,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:10:18,2020-08-31 14:10:18,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2013-14,51659
data,Enrolment reports 2017-18,Enrolment by school and grade for all Yukon schools,Education and training,"2017,2017-18,enrolment,enrolment report,report",Government of Yukon,inquiry.desk@gov.yk.ca,Education,Education,,Harvest source: Education enrolment reports. Harvest source modified: 1969-12-31 16:00:00. ,,OGL-Yukon-2.0,ad_hoc,2020-08-31 14:13:10,2020-08-31 14:13:10,Yukon,,,https://open.yukon.ca/data/datasets/enrolment-reports-2017-18,51670
